"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Significant"
"ENSG00000053524"	11.065595597819	2.42159838740091	0.485033820169388	4.99263821758907	5.95600610605211e-07	1.04560996084026e-05	"TRUE"
"ENSG00000055483"	718.083045404914	0.685522067961906	0.242985281077735	2.82124935683901	0.00478370029613747	0.0241863886972711	"FALSE"
"ENSG00000056558"	624.704922526158	0.949737838516563	0.257829225822148	3.6835926396168	0.000229969652111625	0.00199097013882941	"FALSE"
"ENSG00000057704"	1902.3457009443	-0.666016351470288	0.141721945836608	-4.69945813641411	2.60852685792153e-06	3.6750927419287e-05	"FALSE"
"ENSG00000060982"	23.7367967975199	-1.40539664737874	0.358118729703722	-3.92438744698289	8.69506996287515e-05	0.000900866265006081	"TRUE"
"ENSG00000067225"	345.276547146296	-0.762554037555356	0.182292199030078	-4.1831413610274	2.87508492120742e-05	0.000318781345649665	"FALSE"
"ENSG00000069956"	313.775246551914	0.875237757779005	0.226247440179553	3.86849794669236	0.000109507858406775	0.0010813901017669	"FALSE"
"ENSG00000076382"	74.0207396242571	1.22223352105182	0.260752432609734	4.68733314899165	2.76788196356e-06	3.72191787440409e-05	"TRUE"
"ENSG00000078401"	109.182831848237	3.65994624894332	0.431189455190945	8.48802354714954	2.10180989760381e-17	3.02114295837197e-15	"TRUE"
"ENSG00000081041"	523.321639065399	3.25488820664367	0.357584092369855	9.10244128890692	8.83237515724334e-20	1.86068703312593e-17	"TRUE"
"ENSG00000085117"	1073.45356001007	-0.693517720657691	0.174352034267194	-3.97768642948483	6.95890578045414e-05	0.000734960253731665	"FALSE"
"ENSG00000096070"	284.938049375309	-0.604202694992467	0.2314910581541	-2.61004766149653	0.0090529608683244	0.0405778104168867	"FALSE"
"ENSG00000099985"	12675.9198692174	1.70355216962947	0.290244936241015	5.86936051905784	4.37479217390689e-09	1.45519402837324e-07	"TRUE"
"ENSG00000101255"	69.9726158435601	0.856501369366136	0.2950769885392	2.90263694775491	0.00370035333114989	0.0199882333785191	"FALSE"
"ENSG00000101384"	132.111240859726	-0.554160816021365	0.190169140049082	-2.91404176239288	0.00356782173903503	0.0197795029742995	"FALSE"
"ENSG00000102921"	1820.86635774319	-0.745620216662835	0.205002314609988	-3.63713072255481	0.000275692032372864	0.002323164859462	"FALSE"
"ENSG00000105281"	20.8953549449573	-1.03055781120953	0.348100101557031	-2.96052143219696	0.00307118752311294	0.0179721343945128	"TRUE"
"ENSG00000106952"	95.818158257615	-0.677522726390096	0.264298396151595	-2.56347649571618	0.0103629717219191	0.0454819314462006	"FALSE"
"ENSG00000107554"	208.936553344039	-0.544850202469186	0.190070887094118	-2.86656315861456	0.00414955351164434	0.0218543151613268	"FALSE"
"ENSG00000108179"	6575.71958216693	0.719018006683835	0.222884073121031	3.22597302093179	0.00125545190645986	0.00853167317078096	"FALSE"
"ENSG00000108932"	215.687643619639	-0.868476386839452	0.286691056152354	-3.02931105872353	0.00245112168408057	0.0148952779263358	"FALSE"
"ENSG00000111424"	913.610783532264	-0.655100746236516	0.155209208178192	-4.22075954078969	2.43480548343755e-05	0.000279781284642278	"FALSE"
"ENSG00000112078"	1123.53551777555	-0.662244879403103	0.198772466043605	-3.33167310636385	0.000863255926796316	0.00649497316351514	"FALSE"
"ENSG00000112715"	1445.07438557685	1.29348178643447	0.221455741991283	5.84081394685798	5.1946392816679e-09	1.64150601300706e-07	"TRUE"
"ENSG00000113552"	48.7401178282542	1.28287162205329	0.422981434558212	3.03292654769399	0.00242194543781313	0.0148608690941543	"TRUE"
"ENSG00000115008"	652.104049175996	2.25729686274705	0.424933110544084	5.31212279470717	1.08355546951495e-07	2.28269018911149e-06	"TRUE"
"ENSG00000115009"	153.707143106027	3.22988804112764	0.437190344460392	7.38783022556038	1.49244130000346e-13	1.05619723070315e-11	"TRUE"
"ENSG00000115738"	196.205392529462	-0.939060898202271	0.282778704944028	-3.32083315251106	0.000897491730804738	0.00659552062637901	"FALSE"
"ENSG00000117525"	81.4635327350146	1.50470194934166	0.56732822807285	2.65225997030496	0.00799549540577255	0.0367337143800738	"TRUE"
"ENSG00000119508"	4371.58265326736	1.25917671948747	0.169790675211583	7.41605343119322	1.2066183706089e-13	1.05619723070315e-11	"TRUE"
"ENSG00000121797"	205.039185739901	1.24777064280129	0.229508580147204	5.43670586084835	5.42746246734384e-08	1.31929087667743e-06	"TRUE"
"ENSG00000124102"	396.394910121794	1.34984867600806	0.312282047828986	4.32253049892664	1.54249752156517e-05	0.000183935553514941	"TRUE"
"ENSG00000124120"	830.394473585499	-0.381308556024598	0.149426151125045	-2.55181943156326	0.0107162040912366	0.0460723876575615	"FALSE"
"ENSG00000124788"	1335.70058857323	-0.657369700829515	0.163759085696065	-4.01424872418735	5.96354357831606e-05	0.000649820610602715	"FALSE"
